,us,cns,conf
24,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.25
25,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 6 ,0.25
26,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 6 7 ,0.25
27,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 7 ,0.25
28,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 6 ,0.006993006993006993
29,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 6 7 ,0.006993006993006993
30,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 7 ,0.006993006993006993
31,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 ,0.04895104895104895
32,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,sendabankcardinaletter)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 7 ,1.0
33,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,1,sendapinnumberinaletter)(1,6,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,1.0
